Airline,Departure_Airport,Arrival_Airport,Flight_Duration_Minutes,Flight_Status,Distance_Miles,Price_USD,Age,Gender,Income_Level,Travel_Purpose,Seat_Class,Bags_Checked,Frequent_Flyer_Status,Check_in_Method,Flight_Satisfaction_Score,Delay_Minutes,Booking_Days_In_Advance,No_Show,Weather_Impact,Seat_Selected,Route,route_avg_passengers,route_avg_purchase_lead,route_avg_length_of_stay,route_prop_extra_baggage,route_prop_preferred_seat,route_prop_in_flight_meals,route_booking_conversion_rate,Departure_Month,Departure_DayOfWeek,Departure_Hour,Is_Weekend,Route_Freq
3,6,6,228,2,1256,361.83,73,1,1,0,0,1,1,2,7.5,3.0,84,0,0,1,54,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,4,20,0,0.0139
2,2,5,85,2,1012,222.65,19,0,2,1,3,0,1,3,6.5,11.0,76,0,0,1,21,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,3,19,0,0.0173
2,2,1,232,2,1196,439.21,18,0,1,2,3,0,1,2,7.9,12.0,8,0,0,2,17,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,5,1,1,0.0153
2,2,7,167,1,1240,215.42,64,1,2,1,1,0,0,0,7.9,4.0,88,0,0,0,23,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,4,1,0,0.0127
2,0,3,83,2,1387,496.54,20,1,2,3,1,0,2,2,4.9,2.0,24,0,0,0,3,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,3,0,0,0.0149
3,0,4,248,2,1004,388.72,22,1,2,1,3,0,1,2,10.0,4.0,59,0,0,1,4,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,3,21,0,0.0151
1,5,1,229,2,1278,271.2,29,1,2,2,1,1,0,0,4.9,9.0,52,1,1,2,41,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,8,3,21,0,0.0152
0,7,6,87,2,902,248.89,54,1,0,0,1,1,1,2,3.9,3.0,10,0,0,2,62,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,1,7,0,0.0157
2,4,6,256,0,1328,192.0,60,0,1,3,1,2,0,3,8.4,16.0,66,0,0,2,38,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,3,0,0,0.0155
2,5,3,238,2,959,243.87,55,0,2,3,1,0,1,3,4.5,6.0,92,0,0,1,43,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,8,6,21,1,0.0136
4,5,4,138,2,1397,406.52,34,1,2,3,1,1,1,3,6.7,6.0,94,0,0,0,44,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,6,10,1,0.0165
1,0,4,117,2,1059,333.59,51,1,1,3,3,0,0,3,6.9,14.0,70,0,0,2,4,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,3,21,0,0.0151
4,6,6,169,2,1403,197.8,75,1,2,0,1,3,1,0,5.9,7.0,24,0,0,2,54,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,4,13,0,0.0139
0,7,2,192,2,1096,219.61,54,1,2,1,1,1,0,1,7.7,2.0,64,0,1,0,58,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,0,20,0,0.0158
0,1,4,145,2,1272,420.26,31,0,0,2,1,1,1,2,6.6,11.0,114,0,0,1,12,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,1,21,0,0.0167
3,5,0,100,0,1615,349.5,45,0,2,3,1,1,1,1,5.2,7.0,45,0,0,1,40,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,12,0,9,0,0.0143
2,1,3,224,2,875,325.89,49,1,2,0,1,1,2,3,9.1,2.0,63,0,0,2,11,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,3,2,19,0,0.0152
4,7,4,241,1,1188,416.78,37,1,0,3,1,1,3,0,5.7,0.0,109,0,0,2,60,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,3,7,0,0.0172
0,4,0,115,2,1622,270.02,76,0,2,2,3,1,1,3,6.5,14.0,7,0,1,1,32,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,7,3,20,0,0.0133
0,5,7,146,2,1435,403.37,44,1,2,2,1,0,1,1,7.8,0.0,96,0,0,1,47,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,1,11,0,0.0171
1,4,2,218,2,2558,430.53,31,0,0,2,1,1,3,0,9.1,7.0,90,0,0,1,34,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,1,2,0,0.0173
0,2,3,262,0,1198,284.82,70,0,1,1,1,0,0,0,5.8,8.0,43,0,0,1,19,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,8,4,11,0,0.0155
0,2,7,187,2,986,292.8,69,1,0,3,1,1,3,2,6.5,16.0,34,0,0,1,23,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,8,0,12,0,0.0127
2,0,4,291,2,1030,497.05,60,0,2,3,1,0,3,2,7.7,3.0,63,0,0,2,4,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,1,8,0,0.0151
1,0,4,92,2,1231,325.8,44,1,2,1,1,2,3,2,4.2,0.0,79,0,0,0,4,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,2,9,0,0.0151
0,3,0,182,1,938,239.45,66,0,1,2,1,1,1,1,9.4,13.0,92,0,0,1,24,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,2,21,0,0.0158
1,4,1,92,2,1458,370.34,21,1,2,0,1,2,1,1,8.5,0.0,107,0,1,1,33,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,1,6,0,0.0162
3,2,0,179,2,925,398.66,50,0,2,3,1,1,1,2,6.7,28.0,70,0,0,2,16,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,4,1,0,0.0141
0,7,6,218,2,1241,466.83,42,0,2,1,0,1,3,2,7.3,14.0,88,0,0,1,62,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,12,2,6,0,0.0157
2,5,1,158,2,1134,320.68,72,0,0,3,1,1,1,2,8.0,8.0,68,0,0,2,41,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,3,6,8,1,0.0152
2,4,5,165,2,1479,352.61,30,1,1,3,1,1,3,2,8.5,9.0,12,0,0,1,37,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,8,0,2,0,0.0162
2,3,2,89,0,1096,315.38,37,1,2,0,3,1,1,3,6.2,1.0,48,0,0,1,26,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,0,5,0,0.0148
3,1,7,261,1,1301,449.12,38,1,0,2,1,0,0,0,9.1,6.0,115,0,0,1,15,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,3,0,0,0.0169
2,3,1,145,2,1441,219.72,25,1,2,2,3,2,1,0,8.4,26.0,26,0,0,1,25,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,0,23,0,0.0172
2,1,3,268,2,1286,122.7,29,1,0,1,1,0,1,2,4.9,11.0,112,0,0,1,11,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,1,17,0,0.0152
0,6,2,186,2,1212,375.59,39,0,2,0,1,2,2,3,8.5,13.0,6,0,0,2,50,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,6,21,1,0.0155
2,6,4,193,2,1204,229.09,67,0,1,3,3,0,1,3,8.0,8.0,109,0,0,2,52,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,6,16,1,0.0156
2,3,3,29,2,703,467.72,22,1,2,2,3,4,1,0,8.5,2.0,64,0,1,2,27,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,2,2,0,0.0155
3,0,0,173,2,1071,552.38,42,1,2,0,0,2,1,1,5.6,5.0,6,0,1,0,0,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,2,12,0,0.0135
3,2,7,59,1,898,477.94,54,0,1,1,1,1,2,0,5.2,18.0,18,0,1,2,23,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,3,12,0,0.0127
4,2,1,77,2,1149,229.74,18,1,2,2,1,1,1,3,5.2,15.0,102,0,0,0,17,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,0,12,0,0.0153
4,5,0,115,2,1188,234.94,41,1,1,3,1,1,0,3,6.8,12.0,42,0,0,2,40,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,2,10,0,0.0143
4,0,1,261,2,1143,429.73,79,0,1,3,1,3,0,3,9.3,3.0,97,0,0,1,1,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,1,8,0,0.0156
4,7,5,157,2,974,199.88,31,1,2,2,1,1,1,3,6.1,2.0,41,0,0,2,61,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,4,19,0,0.0155
1,3,2,233,2,1440,361.13,25,1,1,1,3,1,1,3,10.0,8.0,83,0,0,2,26,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,5,3,1,0.0148
2,6,4,180,1,1101,359.21,18,0,0,3,3,0,1,3,8.0,51.0,6,0,0,1,52,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,6,19,1,0.0156
2,1,0,216,2,803,422.63,44,1,0,2,1,1,1,2,6.7,5.0,92,0,0,0,8,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,3,4,0,0.0162
4,2,6,168,2,1388,250.22,75,1,2,1,3,0,1,1,6.1,56.0,81,1,0,0,22,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,5,13,1,0.016
4,0,4,275,2,1242,456.75,24,0,1,0,3,2,0,2,9.0,1.0,95,0,0,1,4,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,0,3,0,0.0151
0,4,1,181,2,1097,353.16,69,0,0,0,3,0,1,2,7.7,4.0,6,0,0,2,33,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,7,2,7,0,0.0162
3,4,3,148,2,1452,366.41,76,1,2,0,1,1,3,1,8.3,22.0,79,0,0,2,35,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,0,18,0,0.0191
0,2,5,93,1,1698,376.59,56,1,1,0,1,1,1,3,8.7,2.0,21,0,0,1,21,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,12,6,2,1,0.0173
3,4,1,147,2,1589,234.32,54,1,2,0,3,3,3,3,5.6,6.0,99,0,0,2,33,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,3,7,0,0.0162
0,6,5,98,2,1058,295.42,53,0,0,3,3,3,1,1,7.3,9.0,13,0,0,2,53,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,0,13,0,0.0166
0,6,2,274,1,1483,179.04,29,0,1,2,1,0,0,1,5.2,5.0,58,0,1,0,50,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,5,21,1,0.0155
3,6,2,182,1,1298,358.52,62,1,2,1,1,3,2,3,6.4,8.0,51,0,0,1,50,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,12,1,5,0,0.0155
2,4,2,229,2,595,324.11,34,0,0,3,1,0,1,2,7.0,19.0,63,0,0,1,34,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,5,10,1,0.0173
1,1,0,205,2,1572,382.08,42,1,1,3,1,1,3,2,7.5,11.0,66,0,0,2,8,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,6,18,1,0.0162
1,2,2,282,2,1074,353.37,64,0,2,2,1,0,2,3,4.4,7.0,116,0,0,2,18,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,2,20,0,0.0171
2,0,6,230,2,1585,442.67,29,1,1,0,3,0,1,2,6.9,3.0,80,0,0,2,6,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,3,4,0,0.0155
2,0,1,174,2,1263,273.51,22,1,1,0,3,0,0,3,9.0,0.0,51,0,0,1,1,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,8,5,15,1,0.0156
0,5,2,198,2,1022,262.13,58,1,2,2,3,1,1,1,6.4,10.0,63,0,0,0,42,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,5,20,1,0.0142
3,5,1,176,2,859,438.25,27,0,2,1,1,1,3,2,7.6,8.0,32,0,0,0,41,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,3,4,20,0,0.0152
0,0,5,173,2,950,339.86,27,0,2,3,1,1,3,2,6.8,11.0,19,0,0,2,5,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,0,7,0,0.0169
3,3,6,153,2,1061,440.78,59,1,1,0,1,4,0,3,6.5,3.0,9,0,1,1,30,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,12,2,12,0,0.015
1,4,1,167,2,1178,273.8,25,0,1,1,0,0,0,3,7.4,24.0,21,0,0,1,33,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,1,4,0,0.0162
0,1,1,201,2,1042,538.42,51,0,0,3,3,0,2,1,6.5,22.0,64,0,1,1,9,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,4,4,0,0.015
4,2,2,193,2,1434,316.76,48,1,2,2,1,0,0,1,7.8,4.0,14,0,0,1,18,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,12,6,6,1,0.0171
4,3,0,256,2,895,285.22,40,1,1,1,3,1,1,1,8.6,7.0,23,0,1,0,24,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,3,0,3,0,0.0158
0,5,4,227,2,1566,353.57,67,1,0,3,1,1,1,1,7.6,8.0,119,0,0,2,44,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,0,20,0,0.0165
1,0,2,172,2,749,451.07,30,1,1,2,1,2,3,0,5.9,4.0,69,0,0,1,2,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,4,18,0,0.0162
4,7,2,243,2,611,294.39,66,1,1,1,1,2,1,3,7.5,16.0,47,0,0,2,58,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,1,3,14,0,0.0158
3,4,4,175,1,1262,270.98,39,1,2,0,1,2,1,0,8.2,23.0,27,1,0,2,36,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,4,2,0,0.0156
0,3,1,145,1,1093,409.72,20,1,0,2,1,1,0,0,4.9,5.0,22,0,0,0,25,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,2,13,0,0.0172
4,5,6,200,2,1180,334.44,57,1,2,0,1,1,1,3,5.1,0.0,115,0,0,0,46,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,8,4,2,0,0.016
3,5,7,160,0,1101,286.77,40,0,2,1,1,2,2,2,4.8,4.0,99,0,1,0,47,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,6,0,10,0,0.0171
3,2,2,121,2,836,457.72,37,0,1,0,1,1,0,2,7.6,1.0,29,0,0,0,18,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,12,6,10,1,0.0171
2,2,4,197,2,999,327.74,55,0,2,3,3,0,1,2,8.5,32.0,20,0,0,2,20,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,3,0,22,0,0.0153
4,7,3,249,2,1468,347.0,55,1,1,0,1,2,1,3,6.3,4.0,28,0,0,2,59,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,6,13,1,0.015
1,5,6,250,1,1436,258.18,62,1,1,3,1,0,3,3,4.1,2.0,101,0,0,1,46,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,6,5,1,0.016
2,0,0,254,2,1216,412.23,74,1,1,1,0,0,1,1,5.9,7.0,108,0,0,1,0,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,3,14,0,0.0135
3,4,1,111,1,921,400.97,36,0,2,1,1,1,0,2,7.5,23.0,21,0,0,1,33,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,2,22,0,0.0162
2,4,4,158,0,1275,274.51,37,1,2,2,1,0,3,3,8.0,15.0,90,0,0,0,36,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,3,22,0,0.0156
0,7,5,209,1,1142,364.28,56,1,2,3,0,1,3,2,7.1,5.0,111,0,1,0,61,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,3,0,7,0,0.0155
0,1,1,131,2,1361,265.69,73,0,1,1,1,1,1,2,7.2,47.0,85,0,0,1,9,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,7,3,5,0,0.015
3,6,6,221,2,889,492.83,25,1,1,0,1,0,3,0,6.0,10.0,38,0,0,0,54,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,5,0,1,0,0.0139
0,1,3,215,2,1439,435.41,73,1,1,1,2,3,3,3,8.3,22.0,101,0,0,2,11,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,8,4,17,0,0.0152
1,7,7,194,2,877,204.43,64,0,0,3,1,1,1,2,6.5,1.0,12,0,0,1,63,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,6,7,1,0.0153
4,4,5,125,1,666,261.46,59,1,0,3,1,1,1,2,5.9,28.0,36,0,1,2,37,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,4,1,0,0.0162
1,1,6,244,2,1305,235.2,51,0,0,1,2,4,3,0,4.9,1.0,57,0,0,2,14,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,2,17,0,0.0161
3,2,2,205,2,1827,350.71,42,1,2,3,1,1,3,1,5.5,5.0,89,0,0,2,18,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,11,6,4,1,0.0171
3,0,3,161,2,1390,195.0,75,1,0,1,1,4,3,0,6.7,1.0,4,0,0,0,3,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,4,4,15,0,0.0149
0,4,5,104,2,901,220.59,30,1,2,2,1,2,1,0,5.7,4.0,116,0,0,1,37,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,2,3,20,0,0.0162
0,0,1,157,1,1073,305.67,53,1,2,3,1,1,1,2,6.6,1.0,104,0,0,2,1,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,7,5,12,1,0.0156
0,1,5,202,2,1303,260.88,47,0,2,1,1,1,2,1,7.8,15.0,50,0,0,1,13,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,4,12,0,0.014
4,1,2,131,2,1592,311.31,74,0,2,2,1,1,1,2,9.7,1.0,60,1,0,0,10,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,9,5,23,1,0.0162
4,7,3,105,2,1518,342.85,29,0,0,0,3,3,3,0,5.9,10.0,21,0,1,1,59,1.5,74.83333333333333,19.282608695652176,0.6666666666666666,0.2564102564102564,0.4090909090909091,0.1052631578947368,10,5,21,1,0.015
